Familia;Proveedor;Codigo;Descripcion;Costo;Precio;Nuevo Precio;Coef ARS;Costo USD
TELAS;ALHAMBRA;AL09-158;TELA ART 475 BORDADO ALLEGRA HILO 3.00;11491,37;$ 22.400;;1,949288901;
TELAS;ALHAMBRA;AL09-159;TELA ART 477 BORDADO DANNA 478 AINOA HILO 3.00;11491,37;$ 22.400;;1,949288901;
TELAS;ALHAMBRA;AL09-160;TELA ART 479 BORDADO AINOA VOILE 3.00;9914,74;$ 19.340;;1,950631081;
TELAS;ALHAMBRA;AL09-161;TELA ART 481 BORDADO SINFIN VOILE 3.00;9914,74;$ 19.340;;1,950631081;
TELAS;ALHAMBRA;AL09-162;TELA ART 483 BORDADO WINSTON HILO  3.00;11491,37;$ 22.400;;1,949288901;
TELAS;ALHAMBRA;AL09-163;TELA ART 790 TERCIOPELO VETEADO 1.50;38352,16;$ 74.760;;1,949303507;
TELAS;ALHAMBRA;AL09-164;TELA ART 3290 IRUN  2.80;89466,19;$ 174.400;;1,949339745;
TELAS;ALHAMBRA;AL09-165;TELA ART 3511 ARPEGGIO 1.40;59340,82;$ 115.700;;1,94975398;
TELAS;ALHAMBRA;AL09-166;TELA ART 3590 GRECO 2.80;82876,53;$ 161.600;;1,949888587;
TELAS;ALHAMBRA;AL09-167;TELA ART 3622 PINOT 1.40;41633,68;$ 81.200;;1,950344048;
TELAS;ALHAMBRA;AL09-168;TELA ART 3750 ARGOT  2.80;61788,65;$ 120.460;;1,949548987;
TELAS;ALHAMBRA;AL09-169;TELA ART 128  SPAZIO LINO  1.45;16822,63;$ 32.820;;1,950943461;
TELAS;ALHAMBRA;AL09-170;TELA ART 435 MILAN  1.40;14037,21;$ 27.360;;1,949105271;
TELAS;ALHAMBRA;AL09-171;TELA ART 440  LISBOA LINO 1.40;21418,21;$ 41.760;;1,949742766;
TELAS;ALHAMBRA;AL09-172;TELA ART 1322  RAMBLA LINO  1.40;17230,4;$ 33.600;;1,950041787;
TELAS;ALHAMBRA;AL09-173;TELA ART 1520 CHISPA LINO 1,45;17446,99;$ 34.100;;1,954491864;
TELAS;ALHAMBRA;AL09-174;TELA ART 1960  NATIVO LINO 2.80;12896,18;$ 25.160;;1,950965325;
TELAS;ALHAMBRA;AL09-175;TELA ART 2100 LINO VIENA 1.42;0; $ -   ;;#¡VALOR!;
TELAS;ALHAMBRA;AL09-176;TELA ART 3086 MAIDER 1.40;23993,09;$ 46.790;;1,950144813;
TELAS;ALHAMBRA;AL09-177;TELA ART 3158 PIVON LISO STONE 1.40;20706,73;$ 40.360;;1,949124753;
TELAS;ALHAMBRA;AL09-178;TELA ART 3390 STONE WASHED COTTON 1.40;17967,29;$ 35.100;;1,953550035;
TELAS;ALHAMBRA;AL09-179;TELA ART 8243 SAILOR  3.00;12479,94;$ 24.360;;1,951932461;
TELAS;ALHAMBRA;AL09-180;TELA ART 8500 RAFIA JAQUARD 2.80;13715,35;$ 26.740;;1,949640366;
TELAS;ALHAMBRA;AL09-181;TELA ART 14106 OLYMPIC 1.40;25119,6;$ 48.960;;1,949075622;
TELAS;ALHAMBRA;AL09-182;TELA ART 14250 MAURE 1.40;7586,7;$ 14.790;;1,949464194;
TELAS;ALHAMBRA;AL09-183;TELA ART 14391 CIAO 1.40;11374;$ 22.190;;1,950940742;
TELAS;ALHAMBRA;AL09-184;PANA ART 450 AMBERES 1.40;9050,8;$ 17.660;;1,951208733;
