Familia;Proveedor;Codigo;Descripcion;Costo nuevo SIN IVA;Costo viejo SIN IVA;Costo viejo con IVA;Precio;Coef viejo
TELAS;ALHAMBRA;AL09-069;TELA ART 5922 RUSTICO PACORA 2.80;;12154;14706,34;28690;2,36053974
TELAS;ALHAMBRA;AL09-070;TELA ART 5927 RUSTICO LISO 2.80;;8428;10197,88;19860;2,356430944
TELAS;ALHAMBRA;AL09-071;TELA ART 5938 LINO POL / VISCOSA 2.80;;7603;9199,63;17960;2,362225437
TELAS;ALHAMBRA;AL09-072;TELA ART 5957 LINO RAYADO 2.80;;10652;12888,92;25160;2,361997747
TELAS;ALHAMBRA;AL09-073;TELA ART 5958 LINO RAYADO 2.80;;11069;13393,49;26120;2,359743428
TELAS;ALHAMBRA;AL09-074;TELA ART 5960 LINO BUTONE 2.80;;8440;10212,4;19920;2,360189573
TELAS;ALHAMBRA;AL09-075;TELA ART 5962 LINO BUTONE RAYADO 2.80;;7279;8807,59;17200;2,362961945
TELAS;ALHAMBRA;AL09-076;TELA ART 6033 LINO RAYAS COLOR 2.80;;9545;11549,45;22560;2,363541121
TELAS;ALHAMBRA;AL09-077;TELA ART 6036 LINO LISO COMPOSE 2.80;;8488;10270,48;19970;2,35273327
TELAS;ALHAMBRA;AL09-078;TELA ART 6165 PORTEVEDRA 2.80;;10938;13234,98;25860;2,364234778
TELAS;ALHAMBRA;AL09-079;TELA ART 6421  CASASOLA  2.80;;5865;7096,65;13900;2,369991475
TELAS;ALHAMBRA;AL09-080;TELA ART 6422  DURUERO  2.80;;6452;7806,92;15260;2,365158091
TELAS;ALHAMBRA;AL09-081;TELA ART 6511 HILO FANTASIA 3.00;;6435;7786,35;15190;2,360528361
TELAS;ALHAMBRA;AL09-082;TELA ART 7455 VOILE FLAME 3.00;;18527;22417,67;43760;2,361958223
TELAS;ALHAMBRA;AL09-083;TELA ART 7511 HILO CRASH FSIA 2.80;;10199;12340,79;24120;2,364937739
TELAS;ALHAMBRA;AL09-084;TELA ART 7635 GASA COLOR 2.80;;11440;13842,4;26970;2,357517483
